#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Fri Nov 28 17:59:17 2025
# Process ID: 2937681
# Current directory: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output
# Command line: xsim -mode tcl -source {xsim.dir/tb/xsim_script.tcl}
# Log file: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output/xsim.log
# Journal file: /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/output/xsim.jou
# Running On: eceubuntu2, OS: Linux, CPU Frequency: 2695.572 MHz, CPU Physical cores: 10, Host memory: 99797 MB
#-----------------------------------------------------------
source xsim.dir/tb/xsim_script.tcl
# xsim {tb} -autoloadwcfg -tclbatch {/home/b57zheng/ECE320_LAB/b57zheng-pd6/build/scripts/xsim.tcl}
Time resolution is 1 ps
source /home/b57zheng/ECE320_LAB/b57zheng-pd6/build/scripts/xsim.tcl
## run 2000ns
Simulation started.
Final transfer at 01000590
[W] 01000384 1 01 0000000d
[W] 01000388 0 00 00000000
[W] 01000388 1 1e 00000018
[W] 0100038c 0 00 00000000
[W] 0100038c 1 04 00000001
[W] 01000390 0 00 00000000
[W] 01000390 1 05 00000002
[W] 01000394 0 00 00000000
[W] 01000394 0 00 01000380
[W] 01000398 0 00 00000000
[W] 0100039c 1 00 00000000
[W] 0100039c 0 00 00000000
[W] 0100039c 1 03 0000001d
[W] 010003a0 0 00 00000000
[W] 010003a0 0 00 010004e0
[W] 010003a4 0 00 00000000
[W] 010003a8 1 00 00000000
[W] 010003a8 0 00 00000000
[W] 010003a8 1 02 0000000b
[W] 010003ac 0 00 00000000
[W] 010003ac 1 01 0000000e
[W] 010003b0 0 00 00000000
[W] 010003b0 1 00 00000000
[W] 010003b4 0 00 00000000
[W] 010003b4 1 1e 00000018
[W] 010003b8 0 00 00000000
[W] 010003b8 1 04 00000002
[W] 010003bc 0 00 00000000
[W] 010003bc 1 05 00000002
[W] 010003c0 0 00 00000000
[W] 010003c0 0 00 010003a8
[W] 010003c4 0 00 00000000
[W] 010003c8 1 00 00000000
[W] 010003c8 0 00 00000000
[W] 010003c8 1 03 0000001e
[W] 010003cc 0 00 00000000
[W] 010003cc 0 00 010004e0
[W] 010003d0 0 00 00000000
[W] 010003d4 1 00 00000000
[W] 010003d4 0 00 00000000
[W] 010003d4 1 02 0000000b
[W] 010003d8 0 00 00000000
[W] 010003d8 1 01 0000000f
[W] 010003dc 0 00 00000000
[W] 010003dc 1 00 00000000
[W] 010003e0 0 00 00000000
[W] 010003e0 1 00 00000000
[W] 010003e4 0 00 00000000
[W] 010003e4 1 1e 0000001a
[W] 010003e8 0 00 00000000
[W] 010003e8 1 04 00000003
[W] 010003ec 0 00 00000000
[W] 010003ec 1 05 00000002
[W] 010003f0 0 00 00000000
[W] 010003f0 0 00 010003d4
[W] 010003f4 0 00 00000000
[W] 010003f4 1 1d 0000001a
[W] 010003f8 0 00 00000000
[W] 010003f8 1 03 0000001f
[W] 010003fc 0 00 00000000
[W] 010003fc 0 00 010004e0
[W] 01000400 0 00 00000000
[W] 01000400 1 04 00000000
[W] 01000404 0 00 00000000
[W] 01000404 1 02 0000000b
[W] 01000408 0 00 00000000
[W] 01000408 1 00 00000000
[W] 0100040c 0 00 00000000
[W] 0100040c 1 01 0000000d
[W] 01000410 0 00 00000000
